Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,21.9,73,46,24,43,6,40,85,47.1,45,31,1,30,26,99,22,1,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,14.8,12,7,0,6,6,2,7,28.6,5,9,2,7,9,21,18,0,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,33.3,34,20,23,10,1,17,26,65.4,9,43,30,13,61,95,202,2,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,9.5,33,26,22,8,3,12,21,57.1,9,16,2,14,8,41,1,0,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,2.7,8,5,3,3,2,3,6,50.0,3,1,0,1,5,13,0,0,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,3,0,1,1,1,2,5,40.0,3,5,2,3,1,4,4,0,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,30.2,23,14,6,8,9,9,22,40.9,13,23,2,21,3,26,17,0,Matches
10,Ale,br BRA,MF,América (MG),32,1990,15.8,38,16,17,19,2,12,37,32.4,25,21,5,16,28,66,24,0,Matches
11,Alexandre Alemão,br BRA,FW,Internacional,24,1998,3.8,5,5,1,3,1,1,5,20.0,4,5,1,4,1,6,2,0,Matches
12,Alerrandro,br BRA,"FW,MF",Bragantino,23,2000,4.5,2,2,1,1,0,0,1,0.0,1,3,0,3,0,2,6,0,Matches
13,Alesson,br BRA,"FW,MF",Goiás,23,1999,7.3,17,10,12,3,2,12,27,44.4,15,5,1,4,1,18,7,0,Matches
14,Alex,br BRA,DF,Santos,23,1999,5.1,9,7,8,0,1,2,4,50.0,2,3,2,1,7,16,10,0,Matches
15,Caio Alexandre,br BRA,MF,Fortaleza,23,1999,29.2,76,42,31,39,6,43,102,42.2,59,51,7,44,24,100,22,0,Matches
16,Matheus Alexandre,br BRA,DF,Cuiabá,23,1999,33.1,86,58,56,25,5,55,102,53.9,47,37,5,32,42,128,74,1,Matches
17,Alexsander,br BRA,"MF,DF",Fluminense,19,2003,13.3,34,19,15,15,4,16,34,47.1,18,20,3,17,10,44,12,0,Matches
18,Alison,br BRA,MF,Santos,29,1993,1.5,3,1,1,2,0,1,4,25.0,3,5,2,3,3,6,5,0,Matches
19,Alisson,br BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,2,2,0,1,1,0,0,,0,1,0,1,0,2,1,0,Matches
20,Alisson,br BRA,"MF,FW",São Paulo,29,1993,23.9,47,32,15,26,6,25,65,38.5,40,31,11,20,27,74,34,1,Matches
21,Allan,br BRA,MF,Flamengo,25,1997,5.4,10,5,4,5,1,3,16,18.8,13,5,1,4,9,19,4,0,Matches
22,Allano,br BRA,FW,Goiás,27,1995,13.7,38,20,25,10,3,26,49,53.1,23,17,1,16,12,50,14,0,Matches
23,Henrique Almeida,br BRA,FW,América (MG),31,1991,1.7,2,1,0,0,2,0,2,0.0,2,0,0,0,0,2,1,0,Matches
24,Rodrigo Alves,br BRA,MF,Vasco da Gama,20,2002,3.9,11,5,7,4,0,6,14,42.9,8,1,0,1,3,14,5,1,Matches
25,Anderson,br BRA,GK,Cruzeiro,24,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Anderson,br BRA,"FW,MF",Goiás,24,1998,14.3,24,16,11,10,3,15,26,57.7,11,8,0,8,3,27,5,0,Matches
27,André,br BRA,DF,Bahia,19,2003,1.4,2,1,1,1,0,2,2,100.0,0,4,1,3,1,3,3,1,Matches
28,André,br BRA,"MF,DF",Fluminense,21,2001,29.4,57,37,28,26,3,27,50,54.0,23,27,14,13,31,88,36,2,Matches
29,Maurício Antônio,br BRA,DF,Coritiba,30,1992,2.0,0,0,0,0,0,0,0,,0,5,4,1,5,5,18,0,Matches
30,Apodi,br BRA,"FW,MF",Goiás,36,1986,4.2,5,4,3,1,1,3,4,75.0,1,2,1,1,2,7,8,0,Matches
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,25,1997,26.5,42,29,25,16,1,15,25,60.0,10,31,10,21,32,74,56,0,Matches
32,Charles Aránguiz,cl CHI,MF,Internacional,33,1989,14.1,33,16,13,14,6,18,39,46.2,21,12,2,10,10,43,10,0,Matches
33,João Araújo,br BRA,MF,Grêmio,17,2005,0.1,2,1,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,Matches
34,Luiz Araújo,br BRA,"FW,MF",Flamengo,26,1996,8.7,19,16,8,6,5,7,19,36.8,12,13,1,12,7,26,10,0,Matches
35,Matheus Araújo,br BRA,"MF,FW",Corinthians,20,2002,6.5,12,7,3,4,5,4,18,22.2,14,12,3,9,9,21,6,0,Matches
36,Michel Araujo,uy URU,"FW,MF",São Paulo,26,1996,19.6,36,23,15,17,4,20,48,41.7,28,27,2,25,11,47,18,1,Matches
37,Robert Arboleda,ec ECU,DF,São Paulo,31,1991,19.1,32,21,20,11,1,19,23,82.6,4,27,24,3,13,45,71,2,Matches
38,Jhon Arias,co COL,"FW,MF",Fluminense,25,1997,26.5,54,31,25,21,8,25,60,41.7,35,47,2,45,9,63,18,1,Matches
39,Luciano Arriagada,cl CHI,"FW,MF",Ath Paranaense,20,2002,2.1,2,1,1,0,1,2,4,50.0,2,0,0,0,0,2,1,0,Matches
40,Arthur,br BRA,"FW,MF",Cruzeiro,24,1998,15.0,9,7,5,4,0,3,9,33.3,6,17,0,17,5,14,3,0,Matches
41,Arthur,br BRA,DF,América (MG),19,2003,1.0,2,1,0,2,0,0,0,,0,0,0,0,1,3,1,0,Matches
42,Arthur,br BRA,"DF,FW",Fluminense,18,2004,0.2,2,1,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,Matches
43,Artur,br BRA,FW,Palmeiras,24,1998,21.1,19,10,10,6,3,10,36,27.8,26,22,0,22,7,26,14,0,Matches
44,Eduard Atuesta,co COL,MF,Palmeiras,25,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
45,Felipe Augusto,br BRA,"FW,MF",Corinthians,18,2004,3.6,5,2,3,2,0,2,10,20.0,8,10,2,8,1,6,2,0,Matches
46,Filipe Augusto,br BRA,MF,Cuiabá,29,1993,11.8,26,15,13,10,3,15,36,41.7,21,18,11,7,7,33,24,0,Matches
47,Renato Augusto,br BRA,MF,Corinthians,34,1988,14.2,17,8,5,10,2,3,11,27.3,8,7,2,5,8,25,10,0,Matches
48,Danilo Avelar,br BRA,DF,América (MG),33,1989,22.0,35,22,15,18,2,17,31,54.8,14,20,10,10,35,70,72,0,Matches
49,Felipe Azevedo,br BRA,"FW,MF",América (MG),36,1987,19.4,17,10,7,5,5,11,26,42.3,15,16,3,13,10,27,17,0,Matches
50,Matheus Babi,br BRA,FW,Goiás,25,1997,9.8,7,4,1,4,2,4,11,36.4,7,6,1,5,1,8,10,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Matheus Bahia,br BRA,"DF,MF",Bahia,23,1999,5.5,16,7,8,5,3,7,18,38.9,11,8,0,8,8,24,15,0,Matches
