,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,1.00,Nicolás Acevedo,uy URU,MF,Bahia,23.00,"1,999.00",31.00,21.00,"1,970.00",21.90,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.90,0.90,1.20,2.10,29.00,112.00,36.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,Matches
,2.00,Luiz Adriano,br BRA,FW,Internacional,35.00,"1,987.00",29.00,17.00,"1,330.00",14.80,3.00,1.00,4.00,3.00,0.00,0.00,1.00,1.00,2.60,2.60,1.30,3.90,3.00,23.00,49.00,0.20,0.07,0.27,0.20,0.27,0.18,0.09,0.27,0.18,0.27,Matches
,3.00,Adriel,br BRA,GK,Grêmio,22.00,"2,001.00",2.00,2.00,180.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,4.00,Adryelson,br BRA,DF,Botafogo (RJ),24.00,"1,998.00",35.00,35.00,"2,996.00",33.30,1.00,1.00,2.00,1.00,0.00,0.00,6.00,1.00,1.10,1.10,0.30,1.40,2.00,56.00,3.00,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,Matches
,5.00,Adson,br BRA,"FW,MF",Corinthians,22.00,"2,000.00",15.00,9.00,857.00,9.50,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,1.00,1.40,49.00,53.00,68.00,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15,Matches
,6.00,Adyson,br BRA,"FW,MF",América (MG),17.00,"2,005.00",8.00,1.00,245.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.20,0.40,0.60,17.00,17.00,42.00,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,Matches
,7.00,Washington Aguerre,uy URU,GK,América (MG),29.00,"1,993.00",2.00,2.00,180.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,8.00,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20.00,"2,002.00",15.00,1.00,296.00,3.30,2.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,1.10,1.10,0.20,1.40,10.00,9.00,29.00,0.61,0.00,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,Matches
,9.00,Yuri Alberto,br BRA,FW,Corinthians,21.00,"2,001.00",34.00,32.00,"2,722.00",30.20,8.00,3.00,11.00,8.00,0.00,0.00,6.00,0.00,10.00,10.00,2.70,12.70,41.00,28.00,204.00,0.26,0.10,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,Matches
,10.00,Ale,br BRA,MF,América (MG),32.00,"1,990.00",27.00,14.00,"1,424.00",15.80,1.00,0.00,1.00,1.00,0.00,0.00,7.00,1.00,1.80,1.80,1.40,3.20,29.00,110.00,37.00,0.06,0.00,0.06,0.06,0.06,0.12,0.09,0.20,0.12,0.20,Matches
