Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,21.9,43,1.96,33,1,2,4,2,1,0,0.00,0,0,0,0,0,0,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,14.8,23,1.56,17,0,0,4,2,0,2,0.14,1,0,0,1,0,0,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,33.3,13,0.39,12,0,0,0,0,1,2,0.06,1,0,0,0,0,1,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,9.5,33,3.47,25,0,5,1,1,1,3,0.32,2,0,1,0,0,0,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,2.7,16,5.88,14,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,9,2.73,6,0,1,0,2,0,3,0.91,1,0,1,0,1,0,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,30.2,56,1.85,34,1,3,8,8,2,9,0.30,4,0,0,3,2,0,Matches
10,Ale,br BRA,MF,América (MG),32,1990,15.8,35,2.21,34,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Alexandre Alemão,br BRA,FW,Internacional,24,1998,3.8,14,3.70,10,0,0,0,4,0,1,0.26,1,0,0,0,0,0,Matches
12,Alerrandro,br BRA,"FW,MF",Bragantino,23,2000,4.5,7,1.56,6,0,1,0,0,0,1,0.22,1,0,0,0,0,0,Matches
13,Alesson,br BRA,"FW,MF",Goiás,23,1999,7.3,18,2.47,13,0,3,1,1,0,1,0.14,1,0,0,0,0,0,Matches
14,Alex,br BRA,DF,Santos,23,1999,5.1,5,0.99,2,0,0,2,0,1,1,0.20,0,0,0,1,0,0,Matches
15,Caio Alexandre,br BRA,MF,Fortaleza,23,1999,29.2,86,2.95,76,2,1,1,4,2,6,0.21,6,0,0,0,0,0,Matches
16,Matheus Alexandre,br BRA,DF,Cuiabá,23,1999,33.1,43,1.30,35,4,0,1,1,2,3,0.09,2,1,0,0,0,0,Matches
17,Alexsander,br BRA,"MF,DF",Fluminense,19,2003,13.3,34,2.57,31,0,1,1,1,0,2,0.15,2,0,0,0,0,0,Matches
18,Alison,br BRA,MF,Santos,29,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Alisson,br BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,4,7.35,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Alisson,br BRA,"MF,FW",São Paulo,29,1993,23.9,65,2.72,42,12,2,2,5,2,7,0.29,6,0,0,0,1,0,Matches
21,Allan,br BRA,MF,Flamengo,25,1997,5.4,13,2.42,12,0,0,0,1,0,2,0.37,1,0,0,0,1,0,Matches
22,Allano,br BRA,FW,Goiás,27,1995,13.7,30,2.18,20,0,1,1,7,1,2,0.15,2,0,0,0,0,0,Matches
23,Henrique Almeida,br BRA,FW,América (MG),31,1991,1.7,7,04.04,4,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Rodrigo Alves,br BRA,MF,Vasco da Gama,20,2002,3.9,1,0.26,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Anderson,br BRA,GK,Cruzeiro,24,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Anderson,br BRA,"FW,MF",Goiás,24,1998,14.3,37,2.58,24,2,5,3,3,0,2,0.14,2,0,0,0,0,0,Matches
27,André,br BRA,DF,Bahia,19,2003,1.4,4,2.88,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,André,br BRA,"MF,DF",Fluminense,21,2001,29.4,58,1.97,51,0,3,1,2,1,4,0.14,4,0,0,0,0,0,Matches
29,Maurício Antônio,br BRA,DF,Coritiba,30,1992,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Apodi,br BRA,"FW,MF",Goiás,36,1986,4.2,5,1.18,3,0,1,0,1,0,3,0.71,1,0,1,0,1,0,Matches
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,25,1997,26.5,54,02.04,45,2,2,3,1,1,4,0.15,4,0,0,0,0,0,Matches
32,Charles Aránguiz,cl CHI,MF,Internacional,33,1989,14.1,30,2.13,26,1,0,1,1,1,2,0.14,2,0,0,0,0,0,Matches
33,João Araújo,br BRA,MF,Grêmio,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Luiz Araújo,br BRA,"FW,MF",Flamengo,26,1996,8.7,37,4.24,24,4,4,2,3,0,5,0.57,2,0,1,0,2,0,Matches
35,Matheus Araújo,br BRA,"MF,FW",Corinthians,20,2002,6.5,24,3.71,21,1,2,0,0,0,4,0.62,3,0,1,0,0,0,Matches
