Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Nicolás Acevedo,uy URU,MF,Bahia,23,1999,21.9,1029,1237,83.2,17288,5431,492,543,90.6,424,499,85,82,118,69.5,0,1.2,1.8,-1.2,16,106,11,2,112,Matches
2,Luiz Adriano,br BRA,FW,Internacional,35,1987,14.8,208,253,82.2,2628,429,128,147,87.1,58,66,87.9,6,8,75,1,1.3,1.6,-0.3,12,15,3,0,23,Matches
3,Adriel,br BRA,GK,Grêmio,22,2001,2,28,63,44.4,1101,947,3,3,100,10,10,100,15,50,30,0,0,0,0,0,1,0,0,0,Matches
4,Adryelson,br BRA,DF,Botafogo (RJ),24,1998,33.3,1303,1523,85.6,25681,9401,416,468,88.9,728,819,88.9,148,211,70.1,1,0.3,0.5,0.7,2,33,1,0,56,Matches
5,Adson,br BRA,"FW,MF",Corinthians,22,2000,9.5,315,389,81,4735,1211,185,209,88.5,94,123,76.4,21,32,65.6,1,1,1.4,0,15,32,13,1,53,Matches
6,Adyson,br BRA,"FW,MF",América (MG),17,2005,2.7,97,140,69.3,1609,650,48,56,85.7,37,51,72.5,8,20,40,0,0.4,0.7,-0.4,10,8,13,4,17,Matches
7,Washington Aguerre,uy URU,GK,América (MG),29,1993,2,31,41,75.6,816,564,7,7,100,12,12,100,11,21,52.4,0,0,0,0,0,0,0,0,0,Matches
8,Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,63,75,84,947,216,33,36,91.7,24,29,82.8,4,5,80,0,0.2,0.8,-0.2,2,2,4,1,9,Matches
9,Yuri Alberto,br BRA,FW,Corinthians,21,2001,30.2,417,581,71.8,5451,801,260,327,79.5,119,158,75.3,12,21,57.1,3,2.7,1.5,0.3,22,20,6,0,28,Matches
10,Ale,br BRA,MF,América (MG),32,1990,15.8,770,878,87.7,12931,4158,361,405,89.1,326,356,91.6,61,70,87.1,0,1.4,0.8,-1.4,16,88,8,3,110,Matches
11,Alexandre Alemão,br BRA,FW,Internacional,24,1998,3.8,56,73,76.7,770,173,34,43,79.1,13,18,72.2,5,5,100,0,0.1,0.2,-0.1,4,4,2,0,7,Matches
12,Alerrandro,br BRA,"FW,MF",Bragantino,23,2000,4.5,55,70,78.6,779,133,32,39,82.1,16,17,94.1,4,6,66.7,0,0.2,0.1,-0.2,2,3,0,0,9,Matches
13,Alesson,br BRA,"FW,MF",Goiás,23,1999,7.3,130,214,60.7,1963,447,81,110,73.6,41,64,64.1,8,14,57.1,1,0.5,0.5,0.5,10,9,7,5,9,Matches
14,Alex,br BRA,DF,Santos,23,1999,5.1,221,244,90.6,4297,1223,56,62,90.3,151,157,96.2,13,21,61.9,0,0.4,0,-0.4,2,5,0,0,7,Matches
15,Caio Alexandre,br BRA,MF,Fortaleza,23,1999,29.2,1574,1804,87.3,28901,7697,634,687,92.3,743,803,92.5,165,237,69.6,2,2.8,2.5,-0.8,29,188,33,4,208,Matches
16,Matheus Alexandre,br BRA,DF,Cuiabá,23,1999,33.1,1213,1543,78.6,19647,8073,585,649,90.1,530,674,78.6,77,137,56.2,0,1.2,1.7,-1.2,13,107,16,10,109,Matches
17,Alexsander,br BRA,"MF,DF",Fluminense,19,2003,13.3,613,734,83.5,8456,2185,378,418,90.4,187,219,85.4,19,33,57.6,1,1.4,1.5,-0.4,20,46,14,5,53,Matches
18,Alison,br BRA,MF,Santos,29,1993,1.5,51,63,81,670,180,31,36,86.1,12,15,80,3,5,60,0,0,0,0,0,3,1,0,1,Matches
19,Alisson,br BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,21,31,67.7,388,105,9,13,69.2,8,10,80,3,4,75,0,0.2,0.4,-0.2,2,1,4,2,3,Matches
20,Alisson,br BRA,"MF,FW",São Paulo,29,1993,23.9,1115,1319,84.5,18459,4363,546,603,90.5,454,509,89.2,86,135,63.7,5,2.7,3.6,2.3,28,117,22,7,144,Matches
21,Allan,br BRA,MF,Flamengo,25,1997,5.4,367,425,86.4,6119,1699,179,197,90.9,147,167,88,31,44,70.5,0,0.1,0.7,-0.1,6,63,10,1,36,Matches
22,Allano,br BRA,FW,Goiás,27,1995,13.7,307,421,72.9,4740,1557,156,183,85.2,119,152,78.3,20,39,51.3,0,0.8,1,-0.8,12,40,13,2,55,Matches
23,Henrique Almeida,br BRA,FW,América (MG),31,1991,1.7,24,29,82.8,305,49,15,17,88.2,4,5,80,2,2,100,0,0.3,0.3,-0.3,3,1,0,0,3,Matches
24,Rodrigo Alves,br BRA,MF,Vasco da Gama,20,2002,3.9,83,107,77.6,1610,411,27,38,71.1,47,53,88.7,8,11,72.7,0,0,0,0,1,7,1,0,4,Matches
25,Anderson,br BRA,GK,Cruzeiro,24,1998,1,14,18,77.8,377,269,4,4,100,7,8,87.5,3,6,50,0,0,0,0,0,2,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Anderson,br BRA,"FW,MF",Goiás,24,1998,14.3,360,484,74.4,5167,1207,207,240,86.3,120,149,80.5,16,38,42.1,2,1.3,1.7,0.7,16,23,15,3,39,Matches
27,André,br BRA,DF,Bahia,19,2003,1.4,63,79,79.7,998,257,37,43,86,18,23,78.3,6,9,66.7,0,0,0.1,0,1,5,1,1,4,Matches
28,André,br BRA,"MF,DF",Fluminense,21,2001,29.4,2355,2491,94.5,39502,11187,1150,1192,96.5,997,1026,97.2,166,206,80.6,0,0.6,1.2,-0.6,19,223,9,0,184,Matches
29,Maurício Antônio,br BRA,DF,Coritiba,30,1992,2,77,95,81.1,1671,651,24,28,85.7,35,38,92.1,16,25,64,0,0,0,0,1,4,0,0,4,Matches
30,Apodi,br BRA,"FW,MF",Goiás,36,1986,4.2,35,58,60.3,449,154,26,31,83.9,9,22,40.9,0,1,0,0,0.2,0.1,-0.2,1,2,0,0,4,Matches
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,25,1997,26.5,1361,1706,79.8,21177,8117,782,853,91.7,473,576,82.1,82,173,47.4,0,1.1,1.8,-1.1,24,101,31,11,133,Matches
32,Charles Aránguiz,cl CHI,MF,Internacional,33,1989,14.1,823,953,86.4,12697,3495,440,497,88.5,321,353,90.9,37,49,75.5,1,1.3,1.1,-0.3,8,85,7,1,89,Matches
33,João Araújo,br BRA,MF,Grêmio,17,2005,0.1,5,5,100,60,13,4,4,100,1,1,100,0,0,,0,0,0,0,0,1,0,0,0,Matches
34,Luiz Araújo,br BRA,"FW,MF",Flamengo,26,1996,8.7,291,388,75,5210,1323,139,160,86.9,108,139,77.7,36,59,61,1,0.7,1.6,0.3,12,20,14,4,44,Matches
